region,origin,body_type,make,model,trim,transmission,fuel_type,usage,eng_capacity,year_man,mileage,selling_price
asia,japan,hatchback,mazda,2,,automatic,petrol,locally_used,2000,2013,95630,1900000
asia,japan,hatchback,mazda,2,,automatic,petrol,foreign_used,1300,2014,48000,790000
asia,japan,saloon,mazda,6,,automatic,diesel,foreign_used,2000,2013,150000,1380000
asia,japan,saloon,mazda,6,,automatic,diesel,locally_used,2000,2013,150000,1380000
asia,japan,saloon,mazda,6,,automatic,petrol,locally_used,2000,2011,107300,1180000
asia,japan,saloon,mazda,6,,automatic,petrol,foreign_used,2000,2015,67000,1750000
asia,japan,coupe,toyota,86,,manual,petrol,locally_used,2000,2012,93287,1800000
asia,japan,coupe,toyota,86,,manual,petrol,foreign_used,2000,2014,81509,1950000
asia,japan,saloon,toyota,110,,automatic,petrol,locally_used,1500,1998,238399,200000
asia,japan,saloon,toyota,110,,manual,petrol,locally_used,1500,1995,250000,290000
asia,japan,saloon,toyota,110,,automatic,petrol,foreign_used,1500,1998,221478,350000
europe,france,hatchback,peugeot,203,,automatic,petrol,foreign_used,1300,2014,72556,1150000
europe,france,hatchback,peugeot,203,,automatic,petrol,locally_used,1300,2014,72556,1150000
europe,france,minicar,peugeot,206,filou,manual,petrol,locally_used,1600,2007,158809,250000
europe,france,minicar,peugeot,206,,manual,petrol,locally_used,1600,2002,126484,345000
europe,france,minicar,peugeot,206,,manual,petrol,locally_used,1600,2006,87126,330000
europe,france,convertible,peugeot,207,,automatic,petrol,locally_used,1600,2010,84000,599000
europe,france,convertible,peugeot,207,,manual,petrol,locally_used,1400,2008,125000,580000
europe,france,convertible,peugeot,207,,automatic,petrol,locally_used,1600,2011,105000,770000
europe,france,convertible,peugeot,207,,automatic,petrol,locally_used,1400,2010,84000,599000
europe,france,convertible,peugeot,207,xs,automatic,petrol,locally_used,1600,2006,44393,650000
europe,france,minicar,peugeot,208,,manual,petrol,locally_used,1600,2013,71000,1150000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1200,2014,40000,980000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1200,2014,40000,950000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1200,2014,40115,980000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1200,2014,53000,990000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1600,2014,53000,950000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1200,2014,56942,999000
europe,france,minicar,peugeot,208,,automatic,petrol,locally_used,1200,2014,56942,999000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1600,2014,72000,950000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1600,2014,76217,1300000
europe,france,minicar,peugeot,208,,automatic,petrol,locally_used,1600,2014,76217,1300000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1200,2014,80000,1050000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1500,2014,83000,1250000
europe,france,minicar,peugeot,208,,automatic,petrol,locally_used,1500,2014,83000,1250000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1400,2014,90000,990000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1200,2014,101000,880000
europe,france,minicar,peugeot,208,,automatic,petrol,foreign_used,1200,2014,102000,1050000
