model_id,model,make_id,make,body_type,region,origin
1,2,26,MAZDA,hatchback,asia,japan
2,6,26,MAZDA,saloon,asia,japan
3,86,40,TOYOTA,coupe,asia,japan
4,110,40,TOYOTA,saloon,asia,japan
5,203,32,PEUGEOT,hatchback,europe,france
6,206,32,PEUGEOT,minicar,europe,france
7,207,32,PEUGEOT,convertible,europe,france
8,208,32,PEUGEOT,minicar,europe,france
9,240,42,VOLVO,saloon,europe,sweden
10,307,32,PEUGEOT,hatchback,europe,france
11,308,32,PEUGEOT,hatchback,europe,france
12,405,32,PEUGEOT,saloon,europe,france
13,406,32,PEUGEOT,saloon,europe,france
14,505,32,PEUGEOT,saloon,europe,france
15,508,32,PEUGEOT,saloon,europe,france
16,740,42,VOLVO,saloon,europe,sweden
17,1400,30,NISSAN,pickup,asia,japan
18,2008,32,PEUGEOT,suv,europe,france
19,3008,32,PEUGEOT,suv,europe,france
20,5008,32,PEUGEOT,wagon,europe,france
21,MARCH,30,NISSAN,hatchback,asia,japan
22,1-SERIES,4,BMW,hatchback,europe,germany
23,200SX,30,NISSAN,coupe,asia,japan
24,2-SERIES,4,BMW,convertible,europe,germany
25,300C,7,CHRYSLER,saloon,america,usa
26,3-SERIES,4,BMW,saloon,europe,germany
27,4RUNNER,40,TOYOTA,suv,asia,japan
28,5-SERIES,4,BMW,saloon,europe,germany
29,7-SERIES,4,BMW,saloon,europe,germany
30,A3,2,AUDI,convertible,europe,germany
31,A4,2,AUDI,convertible,europe,germany
32,A5,2,AUDI,coupe,europe,germany
33,A6,2,AUDI,saloon,europe,germany
34,A7,2,AUDI,saloon,europe,germany
35,ACCORD,16,HONDA,saloon,asia,japan
36,A-CLASS,27,MERCEDESBENZ,hatchback,europe,germany
37,ACTROS,27,MERCEDESBENZ,heavytruck,europe,germany
38,ACTY,16,HONDA,minivan,asia,japan
39,ACURA,16,HONDA,suv,asia,japan
40,ADVAN,30,NISSAN,wagon,asia,japan
41,AIRTREK,29,MITSUBISHI,suv,asia,japan
42,AIRWAVE,16,HONDA,wagon,asia,japan
43,ALLEX,40,TOYOTA,hatchback,asia,japan
44,ALLION,40,TOYOTA,saloon,asia,japan
45,ALMERA,30,NISSAN,saloon,asia,japan
46,ALPHARD,40,TOYOTA,familyvan,asia,japan
47,ALTIS,40,TOYOTA,saloon,asia,japan
48,ALTO,38,SUZUKI,minicar,asia,japan
49,AMAROK,41,VOLKSWAGEN,doublecab,europe,germany
50,AQUA,40,TOYOTA,hatchback,asia,japan
51,ASTRA,31,OPEL,saloon,europe,germany
52,ASX,29,MITSUBISHI,suv,asia,japan
53,ATENZA,26,MAZDA,saloon,asia,japan
54,ATLAS,30,NISSAN,pickup,asia,japan
55,ATTRAGE,29,MITSUBISHI,saloon,asia,japan
56,AURIS,40,TOYOTA,hatchback,asia,japan
57,AVENIR,30,NISSAN,wagon,asia,japan
58,AVENSIS,40,TOYOTA,saloon,asia,japan
59,AXELA,26,MAZDA,hatchback,asia,japan
60,AXIO,40,TOYOTA,saloon,asia,japan
61,BB,40,TOYOTA,minivan,asia,japan
62,B-CLASS,27,MERCEDESBENZ,hatchback,europe,germany
63,BEETLE,41,VOLKSWAGEN,convertible,europe,germany
64,BELTA,40,TOYOTA,saloon,asia,japan
65,BIANTE,26,MAZDA,familyvan,asia,japan
66,BLUEBIRD,30,NISSAN,saloon,asia,japan
67,BONGO,26,MAZDA,van,asia,japan
68,BT-50,26,MAZDA,pickup,asia,japan
69,C3,8,CITROEN,suv,europe,france
70,CALDINA,40,TOYOTA,wagon,asia,japan
71,CAMRY,40,TOYOTA,saloon,asia,japan
72,CANTER,29,MITSUBISHI,truck,asia,japan
73,CAPTIVA,6,CHEVROLET,suv,america,usa
74,CARAVAN,30,NISSAN,van,asia,japan
75,CARENS,22,KIA,wagon,asia,korea
76,CARINA,40,TOYOTA,hatchback,asia,japan
77,CAROL,26,MAZDA,minicar,asia,japan
78,CARRY,38,SUZUKI,minivan,asia,japan
79,CAYENNE,33,PORSCHE,suv,europe,germany
80,CC,41,VOLKSWAGEN,saloon,europe,germany
81,C-CLASS,27,MERCEDESBENZ,coupe,europe,germany
82,CELICA,40,TOYOTA,hatchback,asia,japan
83,CHARIOT,29,MITSUBISHI,wagon,asia,japan
84,CHEROKEE,21,JEEP,suv,america,usa
85,CITI,41,VOLKSWAGEN,minicar,europe,germany
86,CIVIC,16,HONDA,saloon,asia,japan
87,CIVILIAN,30,NISSAN,minibus,asia,japan
88,CLA-CLASS,27,MERCEDESBENZ,saloon,europe,germany
89,CLK-CLASS,27,MERCEDESBENZ,convertible,europe,germany
90,CLS-CLASS,27,MERCEDESBENZ,saloon,europe,germany
91,COASTER,40,TOYOTA,minibus,asia,japan
92,COLT,29,MITSUBISHI,hatchback,asia,japan
93,COMO,18,ISUZU,van,asia,japan
94,COMPASS,21,JEEP,suv,america,usa
95,CONTINENTAL,3,BENTLEY,convertible,europe,uk
96,COOPER,28,MINI,hatchback,europe,uk
97,COROLLA,40,TOYOTA,saloon,asia,japan
98,CORONA,40,TOYOTA,saloon,asia,japan
99,CORSA,40,TOYOTA,saloon,asia,japan
100,CROSSFIRE,7,CHRYSLER,coupe,america,usa
101,CROSSGOLF,41,VOLKSWAGEN,hatchback,europe,germany
102,CROSSROAD,16,HONDA,suv,asia,japan
103,CROWN,40,TOYOTA,saloon,asia,japan
104,CRUZE,6,CHEVROLET,hatchback,america,usa
105,CR-V,16,HONDA,suv,asia,japan
106,CR-Z,16,HONDA,suv,asia,japan
